===== verify_physics v1 =====
PASS 关卡总数 >=100 (100)
PASS 地图数 ==5 (5)
----------------------------
FAIL 关 2 鸟与建筑初始穿插
FAIL 关 4 鸟与建筑初始穿插
FAIL 关 11 鸟与建筑初始穿插
FAIL 关 12 鸟与建筑初始穿插
FAIL 关 18 鸟与建筑初始穿插
FAIL 关 22 鸟与建筑初始穿插
FAIL 关 25 鸟与建筑初始穿插
FAIL 关 29 鸟与建筑初始穿插
FAIL 关 30 鸟与建筑初始穿插
FAIL 关 32 站鸟悬空
FAIL 关 33 鸟与建筑初始穿插
FAIL 关 37 鸟与建筑初始穿插
FAIL 关 43 鸟与建筑初始穿插
FAIL 关 44 鸟与建筑初始穿插
FAIL 关 46 鸟与建筑初始穿插
FAIL 关 47 鸟与建筑初始穿插
FAIL 关 49 鸟与建筑初始穿插
FAIL 关 53 鸟与建筑初始穿插
FAIL 关 54 鸟与建筑初始穿插
FAIL 关 55 鸟与建筑初始穿插
FAIL 关 56 鸟与建筑初始穿插
FAIL 关 57 鸟与建筑初始穿插
FAIL 关 58 鸟与建筑初始穿插
FAIL 关 59 鸟与建筑初始穿插
FAIL 关 73 鸟与建筑初始穿插
FAIL 关 76 鸟与建筑初始穿插
FAIL 关 78 鸟与建筑初始穿插
FAIL 关 80 鸟与建筑初始穿插
FAIL 关 81 鸟与建筑初始穿插
FAIL 关 84 鸟与建筑初始穿插
FAIL 关 86 站鸟悬空
FAIL 关 87 站鸟悬空
FAIL 关 88 鸟与建筑初始穿插
FAIL 关 90 站鸟悬空
FAIL 关 91 鸟与建筑初始穿插
FAIL 关 92 站鸟悬空
FAIL 关 96 鸟与建筑初始穿插
FAIL 关 98 鸟与建筑初始穿插
FAIL 关 99 鸟与建筑初始穿插
FAIL 关 100 站鸟悬空
FAIL 100 关稳定性/穿插/支撑检查 (最大位移 0.127 @关77, 阈值0.15)
===== 结果: 41 FAIL | 1477ms =====
